Date,Stock_Return,Excess_Return,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2021-01-05,0.01236377142244316,0.01236377142244316,0.0086,0.0132,0.005,0.0036,0.005600000000000001,-0.0073,0.0
2021-01-06,-0.0336614499846255,-0.0336614499846255,0.0079,0.0316,0.0394,0.0005,0.0052,-0.0259,0.0
2021-01-07,0.034123245637422306,0.034123245637422306,0.0176,0.0002,-0.008100000000000001,-0.0148,-0.0023,0.0154,0.0
2021-01-08,0.008631227578245193,0.008631227578245193,0.0051,-0.0101,-0.0138,-0.0042,-0.0036,0.0086,0.0
2021-01-11,-0.023248759494827964,-0.023248759494827964,-0.0052,0.0054,0.0126,-0.0016,0.0040999999999999995,-0.0092,0.0
2021-01-12,-0.0013954264596180987,-0.0013954264596180987,0.0037,0.0148,0.0124,-0.0044,0.004,-0.0072,0.0
2021-01-13,0.016226821365300514,0.016226821365300514,0.0006,-0.0104,-0.0045000000000000005,-0.0019,-0.0005,0.0043,0.0
2021-01-14,-0.01512743954136686,-0.01512743954136686,-0.0012,0.0236,0.0113,-0.009899999999999999,0.0043,-0.010700000000000001,0.0
2021-01-15,-0.013730424646777983,-0.013730424646777983,-0.0086,-0.0075,-0.0074,0.0029,-0.0045000000000000005,0.0060999999999999995,0.0
2021-01-19,0.005426919031557231,0.005426919031557231,0.0092,0.0075,-0.0079,-0.0069,0.0009,0.0063,0.0
2021-01-20,0.03285613118475861,0.03285613118475861,0.0127,-0.0074,-0.011000000000000001,0.0064,-0.0040999999999999995,0.0128,0.0
2021-01-21,0.03665818546184263,0.03665818546184263,-0.0004,-0.0076,-0.0096,0.0083,0.0036,0.0121,0.0
2021-01-22,0.01607392768805327,0.01607392768805327,-0.0007000000000000001,0.016399999999999998,-0.0011,-0.0068000000000000005,0.0060999999999999995,0.0083,0.0
2021-01-25,0.027683839942134192,0.027683839942134192,0.0029,-0.0027,-0.0043,0.0021,0.0095,0.0033,0.0
2021-01-26,0.0016793141271997936,0.0016793141271997936,-0.0033,-0.0003,0.0004,0.0104,0.0113,0.0026,0.0
2021-01-27,-0.007683787960565014,-0.007683787960565014,-0.0253,0.012,0.0155,0.005600000000000001,0.024700000000000003,-0.0069,0.0
2021-01-28,-0.03498507791635619,-0.03498507791635619,0.009300000000000001,-0.0169,-0.009300000000000001,-0.0105,-0.022799999999999997,0.0015,0.0
2021-01-29,-0.03742078864930909,-0.03742078864930909,-0.0184,0.0040999999999999995,0.0059,-0.0076,0.004,0.0024,0.0
2021-02-01,0.01652026218214342,0.01652026218214342,0.0172,0.0075,-0.0147,-0.0023,-0.0124,0.0129,0.0
2021-02-02,0.006336950424921994,0.006336950424921994,0.0148,-0.008100000000000001,-0.0103,-0.0097,-0.021,-0.0005,0.0
2021-02-03,-0.007778800207860037,-0.007778800207860037,0.0014000000000000002,0.0068000000000000005,0.0073,-0.0009,0.0018,-0.009899999999999999,0.0
2021-02-04,0.02575776582575484,0.02575776582575484,0.012199999999999999,0.006,0.0038,-0.0009,-0.0024,-0.0043,0.0
2021-02-05,-0.0030979862860338603,-0.0030979862860338603,0.005699999999999999,0.0095,-0.0049,-0.0070999999999999995,0.0042,0.0045000000000000005,0.0
2021-02-08,0.001096615799575984,0.001096615799575984,0.0096,0.022400000000000003,0.0039000000000000003,-0.0095,0.0073,0.0040999999999999995,0.0
2021-02-09,-0.0065736336147831365,-0.0065736336147831365,0.0005,0.0064,-0.0006,-0.0067,-0.0040999999999999995,0.0044,0.0
2021-02-10,-0.004558350907169939,-0.004558350907169939,-0.0008,-0.0053,0.0079,0.003,0.0007000000000000001,-0.0083,0.0
2021-02-11,-0.0019202975661393173,-0.0019202975661393173,0.002,-0.0021,-0.006999999999999999,-0.0046,-0.0029,0.0072,0.0
2021-02-12,0.0017761446801256575,0.0017761446801256575,0.0049,-0.001,0.0046,-0.0039000000000000003,-0.0007000000000000001,0.006500000000000001,0.0
2021-02-16,-0.01610408190119661,-0.01610408190119661,-0.0014000000000000002,-0.0026,0.019299999999999998,0.0017000000000000001,0.0005,-0.006500000000000001,0.0
2021-02-17,-0.017644090825911785,-0.017644090825911785,-0.002,-0.0067,0.006,0.0026,-0.0015,-0.011699999999999999,0.0
2021-02-18,-0.008636394196119501,-0.008636394196119501,-0.0063,-0.0147,-0.0021,0.0088,-0.0043,-0.0085,0.0
2021-02-19,0.0012332317386722913,0.0012332317386722913,0.0016,0.0202,0.0073,-0.0043,0.0053,0.0023,0.0
2021-02-22,-0.029798747743597143,-0.029798747743597143,-0.0111,0.0073,0.0313,0.0167,0.0086,-0.0325,0.0
2021-02-23,-0.0011110452344877952,-0.0011110452344877952,-0.0011,-0.0101,0.0089,0.0113,-0.0021,-0.0182,0.0
2021-02-24,-0.004052157002208068,-0.004052157002208068,0.0115,0.0147,0.0144,-0.0028000000000000004,0.0033,-0.0006,0.0
2021-02-25,-0.03478263809102711,-0.03478263809102711,-0.027200000000000002,-0.0091,0.0088,0.0097,0.0045000000000000005,-0.018799999999999997,0.0
2021-02-26,0.0022316701816007534,0.0022316701816007534,-0.0028000000000000004,0.0034999999999999996,-0.016,-0.0004,-0.004,0.0196,0.0
2021-03-01,0.05385116559953196,0.05385116559953196,0.0262,0.0111,0.0023,-0.004,0.0021,0.0151,0.0
2021-03-02,-0.020893563629443723,-0.020893563629443723,-0.0105,-0.0077,0.0125,0.0062,0.0023,-0.0148,0.0
2021-03-03,-0.024456547302852738,-0.024456547302852738,-0.0155,0.006500000000000001,0.0356,0.016399999999999998,0.010700000000000001,-0.0327,0.0
2021-03-04,-0.015811976389365268,-0.015811976389365268,-0.0167,-0.011000000000000001,0.017,0.0127,0.0049,-0.0285,0.0
2021-03-05,0.010738327281734517,0.010738327281734517,0.0187,0.0038,0.0062,0.0096,0.0052,-0.0115,0.0
2021-03-08,-0.041673414852713364,-0.041673414852713364,-0.0067,0.0146,0.0371,0.0163,0.0092,-0.031200000000000002,0.0
2021-03-09,0.040649644949859676,0.040649644949859676,0.0177,0.0043,-0.0323,-0.0184,-0.0048,0.0452,0.0
2021-03-10,-0.009166728716115569,-0.009166728716115569,0.0067,0.012,0.0182,-0.0007000000000000001,0.0015,-0.0049,0.0
2021-03-11,0.016502649775304246,0.016502649775304246,0.0141,0.010700000000000001,-0.02,-0.0139,-0.008100000000000001,0.0305,0.0
2021-03-12,-0.007625412998969461,-0.007625412998969461,0.0011,0.0053,0.0129,0.0063,0.0058,-0.0105,0.0
2021-03-15,0.02445688080223074,0.02445688080223074,0.0069,-0.0034999999999999996,-0.0127,0.0025,0.0009,0.01,0.0
2021-03-16,0.012742893448416837,0.012742893448416837,-0.0040999999999999995,-0.013500000000000002,-0.0085,0.0028000000000000004,-0.0002,-0.013500000000000002,0.0
2021-03-17,-0.006450568689029712,-0.006450568689029712,0.0034000000000000002,0.006500000000000001,0.0034000000000000002,-0.0004,0.001,0.0149,0.0
2021-03-18,-0.03390498179374568,-0.03390498179374568,-0.018600000000000002,-0.0121,0.0216,0.009300000000000001,0.0046,-0.0347,0.0
2021-03-19,-0.004480438940957843,-0.004480438940957843,0.0023,0.009399999999999999,-0.009899999999999999,-0.0079,-0.0054,0.011899999999999999,0.0
2021-03-22,0.028335838064856178,0.028335838064856178,0.005600000000000001,-0.0169,-0.0223,-0.0025,-0.001,0.0018,0.0
2021-03-23,-0.006888617618094783,-0.006888617618094783,-0.0116,-0.029500000000000002,-0.0104,0.0058,-0.0074,-0.0222,0.0
2021-03-24,-0.019993755133348223,-0.019993755133348223,-0.0097,-0.0158,0.0146,0.0138,0.0013,-0.028300000000000002,0.0
2021-03-25,0.004163670951592868,0.004163670951592868,0.0067,0.0202,0.013999999999999999,0.0045000000000000005,0.0111,0.0072,0.0
2021-03-26,0.005141427151272193,0.005141427151272193,0.015600000000000001,0.002,0.0068000000000000005,0.0078000000000000005,0.006,-0.0045000000000000005,0.0
2021-03-29,0.001484993332484752,0.001484993332484752,-0.0048,-0.024900000000000002,-0.0023,0.009000000000000001,0.0002,-0.0262,0.0
2021-03-30,-0.012274497797985617,-0.012274497797985617,-0.0003,0.0184,0.0101,-0.0026,-0.0023,0.0235,0.0
2021-03-31,0.018765684319319575,0.018765684319319575,0.0063,0.0058,-0.023399999999999997,-0.011699999999999999,-0.0028000000000000004,0.0182,0.0
2021-04-01,0.006958547181723729,0.006958547181723729,0.0127,0.0021,-0.0002,-0.0069,-0.0051,0.0069,0.0
2021-04-05,0.02357731528558582,0.02357731528558582,0.0128,-0.0070999999999999995,-0.0070999999999999995,0.01,0.0009,-0.0048,0.0
2021-04-06,0.002462321451933258,0.002462321451933258,0.0,-0.0031,0.0009,-0.0012,-0.0028000000000000004,0.0067,0.0
2021-04-07,0.01339043871394141,0.01339043871394141,-0.0011,-0.015300000000000001,0.003,0.0068000000000000005,-0.0012,-0.0085,0.0
